baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20220617,0200,POP,20220617,0300,0,62,126
20220617,0200,TMP,20220617,0300,18,62,126
20220617,0200,SKY,20220617,0300,1,62,126
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,62,128
20220617,0200,TMP,20220617,0300,17,62,128
20220617,0200,SKY,20220617,0300,1,62,128
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,128
20220617,0200,TMP,20220617,0300,17,62,128
20220617,0200,SKY,20220617,0300,1,62,128
20220617,0200,POP,20220617,0300,0,62,128
20220617,0200,TMP,20220617,0300,17,62,128
20220617,0200,SKY,20220617,0300,1,62,128
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,127
20220617,0200,TMP,20220617,0300,18,62,127
20220617,0200,SKY,20220617,0300,1,62,127
20220617,0200,POP,20220617,0300,0,62,128
20220617,0200,TMP,20220617,0300,17,62,128
20220617,0200,SKY,20220617,0300,1,62,128
20220617,0200,POP,20220617,0300,0,62,128
20220617,0200,TMP,20220617,0300,17,62,128
20220617,0200,SKY,20220617,0300,1,62,128
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,61,127
20220617,0200,TMP,20220617,0300,19,61,127
20220617,0200,SKY,20220617,0300,1,61,127
20220617,0200,POP,20220617,0300,0,60,127
20220617,0200,TMP,20220617,0300,18,60,127
20220617,0200,SKY,20220617,0300,1,60,127
20220617,0200,POP,20220617,0300,0,60,127
